CalendarDate,SimpleLon,PreciseLon,SimpleLat,PreciseLat,SimpleSpeed,PreciseSpeed,SimpleRA,PreciseRA,SimpleDec,PreciseDec
2000-01-01 12:00:00,223.327774,223.323742,5.170755,5.170735,12.020428,12.021325,222.449014,222.452157,-10.899685,-10.900641
2000-01-02 12:00:00,235.284912,235.280885,4.882662,4.882650,11.901750,11.902487,234.141149,234.145181,-14.337676,-14.338743
2000-01-03 12:00:00,247.150411,247.146392,4.386519,4.386527,11.836102,11.836672,246.084449,246.089264,-17.173324,-17.174328
